,description,industry,level,size,line_code,value
118,Type of outstanding debt: loans with terms of more than one year,Machinery & equipment wholesaling,2,total,D0203,264
119,Type of outstanding debt: loans with terms of more than one year,Other wholesale trade,2,total,D0203,945
120,Type of outstanding debt: loans with terms of more than one year,Retail trade,1,total,D0203,2100
121,Type of outstanding debt: loans with terms of more than one year,Accommodation & food services,1,total,D0203,3384
122,Type of outstanding debt: loans with terms of more than one year,"Transport, postal, & warehousing",1,total,D0203,951
123,Type of outstanding debt: loans with terms of more than one year,Information media & telecommunications,1,total,D0203,144
124,Type of outstanding debt: loans with terms of more than one year,Publishing,2,total,D0203,60
125,Type of outstanding debt: loans with terms of more than one year,Motion picture,2,total,D0203,39
126,Type of outstanding debt: loans with terms of more than one year,Telecommunications,2,total,D0203,42
127,Type of outstanding debt: loans with terms of more than one year,Financial & insurance services,1,total,D0203,225
128,Type of outstanding debt: loans with terms of more than one year,Finance,2,total,D0203,105
129,Type of outstanding debt: loans with terms of more than one year,Insurance,2,total,D0203,3
130,Type of outstanding debt: loans with terms of more than one year,Auxiliary,2,total,D0203,120
131,Type of outstanding debt: loans with terms of more than one year,"Rental, hiring, & real estate services",1,total,D0203,411
132,Type of outstanding debt: loans with terms of more than one year,"Professional, scientific, & technical services",1,total,D0203,1698
133,Type of outstanding debt: loans with terms of more than one year,Computer systems design,2,total,D0203,234
134,Type of outstanding debt: loans with terms of more than one year,Other professional scientific,2,total,D0203,1467
135,Type of outstanding debt: loans with terms of more than one year,Administrative & support services,1,total,D0203,609
136,Type of outstanding debt: loans with terms of more than one year,Education & training,1,total,D0203,372
137,Type of outstanding debt: loans with terms of more than one year,Health care & social assistance,1,total,D0203,969
138,Type of outstanding debt: loans with terms of more than one year,Arts & recreation services,1,total,D0203,207
139,Type of outstanding debt: loans with terms of more than one year,Other services,1,total,D0203,675
140,Type of outstanding debt: loans with terms of more than one year,total,0,total,D0203,21018
141,Type of outstanding debt: mortgage loans,total,0,619 employees,D0204,6576
142,Type of outstanding debt: mortgage loans,total,0,2049 employees,D0204,1260
143,Type of outstanding debt: mortgage loans,total,0,5099 employees,D0204,249
144,Type of outstanding debt: mortgage loans,total,0,100+ employees,D0204,126
145,Type of outstanding debt: mortgage loans,"Agriculture, forestry, & fishing",1,total,D0204,1398
146,Type of outstanding debt: mortgage loans,Agriculture,2,total,D0204,1122
147,Type of outstanding debt: mortgage loans,Commercial fishing,2,total,D0204,6
148,Type of outstanding debt: mortgage loans,Forestry & logging,2,total,D0204,48
149,Type of outstanding debt: mortgage loans,"Agriculture, forestry, & fishing support services",2,total,D0204,228
150,Type of outstanding debt: mortgage loans,Mining,1,total,D0204,12
151,Type of outstanding debt: mortgage loans,Manufacturing,1,total,D0204,900
152,Type of outstanding debt: mortgage loans,"Food, beverage, & tobacco",2,total,D0204,249
153,Type of outstanding debt: mortgage loans,"Textile, clothing, footwear, & leather",2,total,D0204,27
154,Type of outstanding debt: mortgage loans,Wood & paper product,2,total,D0204,75
155,Type of outstanding debt: mortgage loans,"Printing, publishing, & recorded media",2,total,D0204,42
156,Type of outstanding debt: mortgage loans,"Petroleum, coal, chemical, & associated product",2,total,D0204,33
157,Type of outstanding debt: mortgage loans,Non-metallic mineral product,2,total,D0204,27
158,Type of outstanding debt: mortgage loans,Metal product,2,total,D0204,156
159,Type of outstanding debt: mortgage loans,Transport and industrial machinery & equipment,2,total,D0204,201
160,Type of outstanding debt: mortgage loans,Other machinery & equipment,2,total,D0204,24
161,Type of outstanding debt: mortgage loans,Other manufacturing,2,total,D0204,69
162,Type of outstanding debt: mortgage loans,"Electricity, gas, water, & waste services",1,total,D0204,15
163,Type of outstanding debt: mortgage loans,Construction,1,total,D0204,972
164,Type of outstanding debt: mortgage loans,Wholesale trade,1,total,D0204,561
165,Type of outstanding debt: mortgage loans,Machinery & equipment wholesaling,2,total,D0204,108
166,Type of outstanding debt: mortgage loans,Other wholesale trade,2,total,D0204,453
167,Type of outstanding debt: mortgage loans,Retail trade,1,total,D0204,894
168,Type of outstanding debt: mortgage loans,Accommodation & food services,1,total,D0204,1188
169,Type of outstanding debt: mortgage loans,"Transport, postal, & warehousing",1,total,D0204,279
170,Type of outstanding debt: mortgage loans,Information media & telecommunications,1,total,D0204,21
171,Type of outstanding debt: mortgage loans,Publishing,2,total,D0204,12
172,Type of outstanding debt: mortgage loans,Motion picture,2,total,D0204,3
173,Type of outstanding debt: mortgage loans,Telecommunications,2,total,D0204,6
174,Type of outstanding debt: mortgage loans,Financial & insurance services,1,total,D0204,30
175,Type of outstanding debt: mortgage loans,Finance,2,total,D0204,15
176,Type of outstanding debt: mortgage loans,Insurance,2,total,D0204,3
177,Type of outstanding debt: mortgage loans,Auxiliary,2,total,D0204,12
178,Type of outstanding debt: mortgage loans,"Rental, hiring, & real estate services",1,total,D0204,198
179,Type of outstanding debt: mortgage loans,"Professional, scientific, & technical services",1,total,D0204,384
180,Type of outstanding debt: mortgage loans,Computer systems design,2,total,D0204,9
181,Type of outstanding debt: mortgage loans,Other professional scientific,2,total,D0204,378
182,Type of outstanding debt: mortgage loans,Administrative & support services,1,total,D0204,144
183,Type of outstanding debt: mortgage loans,Education & training,1,total,D0204,270
184,Type of outstanding debt: mortgage loans,Health care & social assistance,1,total,D0204,564
185,Type of outstanding debt: mortgage loans,Arts & recreation services,1,total,D0204,60
186,Type of outstanding debt: mortgage loans,Other services,1,total,D0204,312
187,Type of outstanding debt: mortgage loans,total,0,total,D0204,8211
188,Type of outstanding debt: trade creditors or suppliers,total,0,619 employees,D0205,17349
189,Type of outstanding debt: trade creditors or suppliers,total,0,2049 employees,D0205,5163
190,Type of outstanding debt: trade creditors or suppliers,total,0,5099 employees,D0205,1704
191,Type of outstanding debt: trade creditors or suppliers,total,0,100+ employees,D0205,1476
192,Type of outstanding debt: trade creditors or suppliers,"Agriculture, forestry, & fishing",1,total,D0205,1419
193,Type of outstanding debt: trade creditors or suppliers,Agriculture,2,total,D0205,897
194,Type of outstanding debt: trade creditors or suppliers,Commercial fishing,2,total,D0205,27
195,Type of outstanding debt: trade creditors or suppliers,Forestry & logging,2,total,D0205,159
196,Type of outstanding debt: trade creditors or suppliers,"Agriculture, forestry, & fishing support services",2,total,D0205,339
197,Type of outstanding debt: trade creditors or suppliers,Mining,1,total,D0205,75
198,Type of outstanding debt: trade creditors or suppliers,Manufacturing,1,total,D0205,3549
199,Type of outstanding debt: trade creditors or suppliers,"Food, beverage, & tobacco",2,total,D0205,738
200,Type of outstanding debt: trade creditors or suppliers,"Textile, clothing, footwear, & leather",2,total,D0205,180
201,Type of outstanding debt: trade creditors or suppliers,Wood & paper product,2,total,D0205,345
202,Type of outstanding debt: trade creditors or suppliers,"Printing, publishing, & recorded media",2,total,D0205,162
203,Type of outstanding debt: trade creditors or suppliers,"Petroleum, coal, chemical, & associated product",2,total,D0205,300
204,Type of outstanding debt: trade creditors or suppliers,Non-metallic mineral product,2,total,D0205,129
205,Type of outstanding debt: trade creditors or suppliers,Metal product,2,total,D0205,621
206,Type of outstanding debt: trade creditors or suppliers,Transport and industrial machinery & equipment,2,total,D0205,603
207,Type of outstanding debt: trade creditors or suppliers,Other machinery & equipment,2,total,D0205,186
208,Type of outstanding debt: trade creditors or suppliers,Other manufacturing,2,total,D0205,282
209,Type of outstanding debt: trade creditors or suppliers,"Electricity, gas, water, & waste services",1,total,D0205,129
210,Type of outstanding debt: trade creditors or suppliers,Construction,1,total,D0205,4194
211,Type of outstanding debt: trade creditors or suppliers,Wholesale trade,1,total,D0205,2292
212,Type of outstanding debt: trade creditors or suppliers,Machinery & equipment wholesaling,2,total,D0205,753
213,Type of outstanding debt: trade creditors or suppliers,Other wholesale trade,2,total,D0205,1539
214,Type of outstanding debt: trade creditors or suppliers,Retail trade,1,total,D0205,3285
215,Type of outstanding debt: trade creditors or suppliers,Accommodation & food services,1,total,D0205,2688
216,Type of outstanding debt: trade creditors or suppliers,"Transport, postal, & warehousing",1,total,D0205,954
217,Type of outstanding debt: trade creditors or suppliers,Information media & telecommunications,1,total,D0205,261
218,Type of outstanding debt: trade creditors or suppliers,Publishing,2,total,D0205,87
219,Type of outstanding debt: trade creditors or suppliers,Motion picture,2,total,D0205,99
220,Type of outstanding debt: trade creditors or suppliers,Telecommunications,2,total,D0205,69
221,Type of outstanding debt: trade creditors or suppliers,Financial & insurance services,1,total,D0205,312
222,Type of outstanding debt: trade creditors or suppliers,Finance,2,total,D0205,123
223,Type of outstanding debt: trade creditors or suppliers,Insurance,2,total,D0205,24
224,Type of outstanding debt: trade creditors or suppliers,Auxiliary,2,total,D0205,168
225,Type of outstanding debt: trade creditors or suppliers,"Rental, hiring, & real estate services",1,total,D0205,507
226,Type of outstanding debt: trade creditors or suppliers,"Professional, scientific, & technical services",1,total,D0205,2742
227,Type of outstanding debt: trade creditors or suppliers,Computer systems design,2,total,D0205,534
228,Type of outstanding debt: trade creditors or suppliers,Other professional scientific,2,total,D0205,2211
229,Type of outstanding debt: trade creditors or suppliers,Administrative & support services,1,total,D0205,807
230,Type of outstanding debt: trade creditors or suppliers,Education & training,1,total,D0205,408
231,Type of outstanding debt: trade creditors or suppliers,Health care & social assistance,1,total,D0205,1053
232,Type of outstanding debt: trade creditors or suppliers,Arts & recreation services,1,total,D0205,219
233,Type of outstanding debt: trade creditors or suppliers,Other services,1,total,D0205,792
234,Type of outstanding debt: trade creditors or suppliers,total,0,total,D0205,25692
235,Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,619 employees,D0206,7446
236,Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,2049 employees,D0206,2232
237,Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,5099 employees,D0206,675
238,Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,100+ employees,D0206,588
239,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Agriculture, forestry, & fishing",1,total,D0206,951
240,Type of outstanding debt: capital/financing leases and hire purchase agreements,Agriculture,2,total,D0206,579
241,Type of outstanding debt: capital/financing leases and hire purchase agreements,Commercial fishing,2,total,D0206,3
242,Type of outstanding debt: capital/financing leases and hire purchase agreements,Forestry & logging,2,total,D0206,81
243,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Agriculture, forestry, & fishing support services",2,total,D0206,291
244,Type of outstanding debt: capital/financing leases and hire purchase agreements,Mining,1,total,D0206,36
245,Type of outstanding debt: capital/financing leases and hire purchase agreements,Manufacturing,1,total,D0206,1329
246,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Food, beverage, & tobacco",2,total,D0206,261
247,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Textile, clothing, footwear, & leather",2,total,D0206,42
248,Type of outstanding debt: capital/financing leases and hire purchase agreements,Wood & paper product,2,total,D0206,132
249,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Printing, publishing, & recorded media",2,total,D0206,72
250,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Petroleum, coal, chemical, & associated product",2,total,D0206,123
251,Type of outstanding debt: capital/financing leases and hire purchase agreements,Non-metallic mineral product,2,total,D0206,45
252,Type of outstanding debt: capital/financing leases and hire purchase agreements,Metal product,2,total,D0206,222
253,Type of outstanding debt: capital/financing leases and hire purchase agreements,Transport and industrial machinery & equipment,2,total,D0206,258
254,Type of outstanding debt: capital/financing leases and hire purchase agreements,Other machinery & equipment,2,total,D0206,54
255,Type of outstanding debt: capital/financing leases and hire purchase agreements,Other manufacturing,2,total,D0206,114
256,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Electricity, gas, water, & waste services",1,total,D0206,60
257,Type of outstanding debt: capital/financing leases and hire purchase agreements,Construction,1,total,D0206,2298
258,Type of outstanding debt: capital/financing leases and hire purchase agreements,Wholesale trade,1,total,D0206,822
259,Type of outstanding debt: capital/financing leases and hire purchase agreements,Machinery & equipment wholesaling,2,total,D0206,252
260,Type of outstanding debt: capital/financing leases and hire purchase agreements,Other wholesale trade,2,total,D0206,567
261,Type of outstanding debt: capital/financing leases and hire purchase agreements,Retail trade,1,total,D0206,1146
262,Type of outstanding debt: capital/financing leases and hire purchase agreements,Accommodation & food services,1,total,D0206,771
263,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Transport, postal, & warehousing",1,total,D0206,600
264,Type of outstanding debt: capital/financing leases and hire purchase agreements,Information media & telecommunications,1,total,D0206,90
265,Type of outstanding debt: capital/financing leases and hire purchase agreements,Publishing,2,total,D0206,30
266,Type of outstanding debt: capital/financing leases and hire purchase agreements,Motion picture,2,total,D0206,27
267,Type of outstanding debt: capital/financing leases and hire purchase agreements,Telecommunications,2,total,D0206,30
268,Type of outstanding debt: capital/financing leases and hire purchase agreements,Financial & insurance services,1,total,D0206,126
269,Type of outstanding debt: capital/financing leases and hire purchase agreements,Finance,2,total,D0206,45
270,Type of outstanding debt: capital/financing leases and hire purchase agreements,Insurance,2,total,D0206,3
271,Type of outstanding debt: capital/financing leases and hire purchase agreements,Auxiliary,2,total,D0206,81
272,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Rental, hiring, & real estate services",1,total,D0206,369
273,Type of outstanding debt: capital/financing leases and hire purchase agreements,"Professional, scientific, & technical services",1,total,D0206,918
274,Type of outstanding debt: capital/financing leases and hire purchase agreements,Computer systems design,2,total,D0206,156
275,Type of outstanding debt: capital/financing leases and hire purchase agreements,Other professional scientific,2,total,D0206,765
276,Type of outstanding debt: capital/financing leases and hire purchase agreements,Administrative & support services,1,total,D0206,357
277,Type of outstanding debt: capital/financing leases and hire purchase agreements,Education & training,1,total,D0206,192
278,Type of outstanding debt: capital/financing leases and hire purchase agreements,Health care & social assistance,1,total,D0206,450
279,Type of outstanding debt: capital/financing leases and hire purchase agreements,Arts & recreation services,1,total,D0206,96
280,Type of outstanding debt: capital/financing leases and hire purchase agreements,Other services,1,total,D0206,318
281,Type of outstanding debt: capital/financing leases and hire purchase agreements,total,0,total,D0206,10938
282,"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,619 employees,D0207,13872
283,"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,2049 employees,D0207,4506
284,"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,5099 employees,D0207,1494
285,"Type of outstanding debt: credit cards, excluding unused credit limits",total,0,100+ employees,D0207,1236
286,"Type of outstanding debt: credit cards, excluding unused credit limits","Agriculture, forestry, & fishing",1,total,D0207,900
287,"Type of outstanding debt: credit cards, excluding unused credit limits",Agriculture,2,total,D0207,585
288,"Type of outstanding debt: credit cards, excluding unused credit limits",Commercial fishing,2,total,D0207,21
289,"Type of outstanding debt: credit cards, excluding unused credit limits",Forestry & logging,2,total,D0207,66
290,"Type of outstanding debt: credit cards, excluding unused credit limits","Agriculture, forestry, & fishing support services",2,total,D0207,225
291,"Type of outstanding debt: credit cards, excluding unused credit limits",Mining,1,total,D0207,48
292,"Type of outstanding debt: credit cards, excluding unused credit limits",Manufacturing,1,total,D0207,2715
293,"Type of outstanding debt: credit cards, excluding unused credit limits","Food, beverage, & tobacco",2,total,D0207,543
294,"Type of outstanding debt: credit cards, excluding unused credit limits","Textile, clothing, footwear, & leather",2,total,D0207,129
295,"Type of outstanding debt: credit cards, excluding unused credit limits",Wood & paper product,2,total,D0207,267
296,"Type of outstanding debt: credit cards, excluding unused credit limits","Printing, publishing, & recorded media",2,total,D0207,135
297,"Type of outstanding debt: credit cards, excluding unused credit limits","Petroleum, coal, chemical, & associated product",2,total,D0207,255
298,"Type of outstanding debt: credit cards, excluding unused credit limits",Non-metallic mineral product,2,total,D0207,96
299,"Type of outstanding debt: credit cards, excluding unused credit limits",Metal product,2,total,D0207,474
300,"Type of outstanding debt: credit cards, excluding unused credit limits",Transport and industrial machinery & equipment,2,total,D0207,471
301,"Type of outstanding debt: credit cards, excluding unused credit limits",Other machinery & equipment,2,total,D0207,147
302,"Type of outstanding debt: credit cards, excluding unused credit limits",Other manufacturing,2,total,D0207,198
303,"Type of outstanding debt: credit cards, excluding unused credit limits","Electricity, gas, water, & waste services",1,total,D0207,108
304,"Type of outstanding debt: credit cards, excluding unused credit limits",Construction,1,total,D0207,3372
305,"Type of outstanding debt: credit cards, excluding unused credit limits",Wholesale trade,1,total,D0207,1767
306,"Type of outstanding debt: credit cards, excluding unused credit limits",Machinery & equipment wholesaling,2,total,D0207,558
307,"Type of outstanding debt: credit cards, excluding unused credit limits",Other wholesale trade,2,total,D0207,1209
308,"Type of outstanding debt: credit cards, excluding unused credit limits",Retail trade,1,total,D0207,2472
309,"Type of outstanding debt: credit cards, excluding unused credit limits",Accommodation & food services,1,total,D0207,2073
310,"Type of outstanding debt: credit cards, excluding unused credit limits","Transport, postal, & warehousing",1,total,D0207,786
311,"Type of outstanding debt: credit cards, excluding unused credit limits",Information media & telecommunications,1,total,D0207,225
312,"Type of outstanding debt: credit cards, excluding unused credit limits",Publishing,2,total,D0207,90
313,"Type of outstanding debt: credit cards, excluding unused credit limits",Motion picture,2,total,D0207,60
314,"Type of outstanding debt: credit cards, excluding unused credit limits",Telecommunications,2,total,D0207,72
315,"Type of outstanding debt: credit cards, excluding unused credit limits",Financial & insurance services,1,total,D0207,342
316,"Type of outstanding debt: credit cards, excluding unused credit limits",Finance,2,total,D0207,96
317,"Type of outstanding debt: credit cards, excluding unused credit limits",Insurance,2,total,D0207,21
318,"Type of outstanding debt: credit cards, excluding unused credit limits",Auxiliary,2,total,D0207,225
319,"Type of outstanding debt: credit cards, excluding unused credit limits","Rental, hiring, & real estate services",1,total,D0207,555
320,"Type of outstanding debt: credit cards, excluding unused credit limits","Professional, scientific, & technical services",1,total,D0207,2637
321,"Type of outstanding debt: credit cards, excluding unused credit limits",Computer systems design,2,total,D0207,510
322,"Type of outstanding debt: credit cards, excluding unused credit limits",Other professional scientific,2,total,D0207,2130
323,"Type of outstanding debt: credit cards, excluding unused credit limits",Administrative & support services,1,total,D0207,672
324,"Type of outstanding debt: credit cards, excluding unused credit limits",Education & training,1,total,D0207,441
325,"Type of outstanding debt: credit cards, excluding unused credit limits",Health care & social assistance,1,total,D0207,1131
